murder_mysteries,object_placements,team_allocation,cohort,arch
-0.69186443,1.2757316,0.6494647,Q1-2025,LlamaForCausalLM
0.301315039396286,2.407668113708496,1.311306357383728,Q4-2024,LlamaForCausalLM
-0.8913158774375916,1.8358500003814695,0.2785698175430298,Q3-2024,LlamaForCausalLM
-0.0021074255928397,1.8172982931137085,0.2310253530740738,Q2-2024,LlamaForCausalLM
-0.7048777937889099,0.508624255657196,-0.0822080299258232,Q1-2025,Qwen2ForCausalLM
-0.6162026524543762,0.8593339920043945,0.0240653362125158,Q4-2024,Qwen2ForCausalLM
-0.3179343640804291,0.9412436485290528,0.0479951910674572,Q3-2024,Qwen2ForCausalLM
-0.8874492049217224,-0.030755441635847,-0.2739971280097961,Q2-2024,Qwen2ForCausalLM
-0.6865512132644653,0.96828693151474,0.1792117357254028,Q1-2025,MistralForCausalLM
-0.7385267615318298,1.0847028493881226,0.2003740668296814,Q4-2024,MistralForCausalLM
-0.6257365942001343,2.790649890899658,0.3964732885360718,Q3-2024,MistralForCausalLM
-1.285544514656067,0.1994005739688873,-0.3281825184822082,Q2-2024,MistralForCausalLM
-1.0215775966644287,1.070080280303955,0.2347780019044876,Q1-2025,Gemma2ForCausalLM
-2.754493236541748,-0.3364406824111938,0.5099957585334778,Q4-2024,Gemma2ForCausalLM
0.0719865560531616,1.5063073635101318,1.1952495574951172,Q3-2024,Gemma2ForCausalLM
-2.3454904556274414,-0.009684133343398571,1.57060968875885,Q2-2024,Gemma2ForCausalLM
