diamond,extended,main,cohort,arch
0.6702877,0.5304451,0.5430389,Q1-2025,LlamaForCausalLM
0.8163259625434875,0.4082671701908111,0.5066167712211609,Q4-2024,LlamaForCausalLM
0.4406973719596863,0.4862239360809326,0.7040423154830933,Q3-2024,LlamaForCausalLM
0.7058843374252319,0.5721793174743652,0.7483332753181458,Q2-2024,LlamaForCausalLM
0.5923770070075989,0.5289580821990967,0.4684561192989349,Q1-2025,Qwen2ForCausalLM
2.153247117996216,1.7388054132461548,2.436966896057129,Q4-2024,Qwen2ForCausalLM
0.7371304035186768,0.541223406791687,0.6512832641601562,Q3-2024,Qwen2ForCausalLM
0.7128386497497559,0.5452175140380859,0.6096282601356506,Q2-2024,Qwen2ForCausalLM
0.8388317227363586,0.7811757922172546,0.6141260862350464,Q1-2025,MistralForCausalLM
0.6835336089134216,0.6566894054412842,0.5694250464439392,Q4-2024,MistralForCausalLM
2.716768741607666,0.5104729533195496,0.441984623670578,Q3-2024,MistralForCausalLM
0.681922197341919,0.8900753855705261,1.8659156560897827,Q2-2024,MistralForCausalLM
0.7803304195404053,0.600641131401062,0.7466000318527222,Q1-2025,Gemma2ForCausalLM
1.1095614433288574,0.8857737183570862,0.907212734222412,Q4-2024,Gemma2ForCausalLM
0.6711466908454895,0.4050787389278412,0.4882738590240478,Q3-2024,Gemma2ForCausalLM
0.5445621609687805,0.7231660485267639,0.9443219900131226,Q2-2024,Gemma2ForCausalLM
