diamond,extended,main,cohort,arch
0.62462723,0.9263077,0.8647846,Q1-2025,LlamaForCausalLM
0.5089254379272461,1.4859107732772827,1.0993739366531372,Q4-2024,LlamaForCausalLM
1.298751711845398,1.0129830837249756,0.5188600420951843,Q3-2024,LlamaForCausalLM
0.7115272879600525,0.9188514947891236,0.5969168543815613,Q2-2024,LlamaForCausalLM
1.2590925693511963,1.331590175628662,1.5638558864593506,Q1-2025,Qwen2ForCausalLM
0.3852876722812652,0.4589036703109741,0.352196604013443,Q4-2024,Qwen2ForCausalLM
0.1755835115909576,0.5205827355384827,0.304585188627243,Q3-2024,Qwen2ForCausalLM
0.918873131275177,1.1719849109649658,1.0224279165267944,Q2-2024,Qwen2ForCausalLM
-0.358999103307724,-0.3159871399402618,-0.0264378506690263,Q1-2025,MistralForCausalLM
0.8206970691680908,0.8161528706550598,1.0115867853164673,Q4-2024,MistralForCausalLM
-0.1077344045042991,1.1223267316818235,1.3102805614471436,Q3-2024,MistralForCausalLM
1.1767995357513428,0.8758620619773865,0.3508613109588623,Q2-2024,MistralForCausalLM
0.2063953578472137,0.5359945893287659,0.3028754889965057,Q1-2025,Gemma2ForCausalLM
0.7048243284225464,0.8552988171577454,0.8555400371551514,Q4-2024,Gemma2ForCausalLM
0.6821215748786926,1.341441631317139,1.02778959274292,Q3-2024,Gemma2ForCausalLM
0.6605473160743713,0.4460304379463196,0.2170245349407196,Q2-2024,Gemma2ForCausalLM
