boolean_expressions,causal_judgement,date_understanding,disambiguation_qa,formal_fallacies,geometric_shapes,hyperbaton,logical_deduction_5obj,logical_deduction_7obj,logical_deduction_3obj,movie_recommendation,navigate,object_counting,penguins_in_table,reasoning_colored_obj,ruin_names,salient_translation,snarks,sports_understanding,temporal_sequences,tracking_5obj,tracking_7obj,tracking_3obj,web_of_lies,cohort,arch
-1.0844198,-0.9053344,-0.075476326,-0.3060232,-0.4918202,0.46928358,-0.8506164,0.15742293,0.291336,-0.38836786,-0.41961855,-0.56336606,0.13622965,-0.013657486,-0.19090945,-0.3037526,0.06493563,-0.7749339,-0.9122857,-0.062272023,2.1632612,1.8171079,2.360379,-0.21406831,Q1-2025,LlamaForCausalLM
-1.071768045425415,-1.0124162435531616,-0.1233573481440544,-0.355607271194458,-0.6452822089195251,0.0947357714176178,-0.973667860031128,0.0996508076786995,0.0899145975708961,-0.4350074827671051,-0.4768109321594238,-0.6942269206047058,-0.0601359419524669,-0.093789167702198,-0.276837944984436,-0.3448542952537536,-0.092276930809021,-0.7974022626876831,-0.8245168924331665,-0.0884147807955741,1.7418426275253296,1.7140885591506958,2.6752212047576904,-0.4413488209247589,Q4-2024,LlamaForCausalLM
-1.1587259769439695,-1.0907213687896729,-0.1059089675545692,-0.4128116369247436,-0.6521051526069641,0.2606074213981628,-1.0673112869262695,0.1908717304468155,0.1339876800775528,-0.4413978159427643,-0.4689916670322418,-0.7345855236053467,0.0108504416421055,-0.1182940155267715,-0.3194451034069061,-0.4403944015502929,-0.0552168004214763,-0.7967779636383057,-0.9880585670471193,-0.0514269433915615,2.233262538909912,1.7158310413360596,4.022994518280029,-0.2674785554409027,Q3-2024,LlamaForCausalLM
-0.9846761226654052,-0.8098224997520447,-0.005311083048582,-0.4070614576339721,-0.5296943783760071,0.3925791084766388,-1.0090423822402954,0.2416770607233047,0.251991868019104,-0.2198681831359863,-0.3806795179843902,-0.5709924697875977,0.2365297079086303,-0.0587816685438156,-0.1476186513900756,-0.2490007877349853,0.060549009591341,-0.3932878077030182,-0.8001465201377869,0.0294927824288606,1.7510346174240112,1.9631261825561523,1.4737528562545776,-0.0112714702263474,Q2-2024,LlamaForCausalLM
-1.0052300691604614,-0.7908678650856018,-0.2234389930963516,-0.3553206920623779,-0.6270347833633423,-0.0200509298592805,-0.7610501646995544,-0.1276854872703552,-0.0702394545078277,-0.5061612725257874,-0.4118049740791321,-0.7713292241096497,0.1006775125861167,-0.2312882542610168,-0.2654439806938171,-0.2554261684417724,-0.1270474642515182,-0.6595144271850586,-0.7565774917602539,-0.177307054400444,2.1181719303131104,1.5086331367492676,3.80469012260437,-0.6631948351860046,Q1-2025,Qwen2ForCausalLM
-0.709464967250824,-0.5333015322685242,-0.0051068500615656,-0.1626133471727371,-0.3361055254936218,0.2296228557825088,-0.603965163230896,0.1102251559495925,0.1772739142179489,-0.2481516003608703,-0.3048112988471985,-0.4769212305545807,0.3977611362934112,-0.0250320043414831,-0.0279246438294649,-0.0168565306812524,0.1103024408221244,-0.3712071478366852,-0.4874955713748932,0.051626767963171,2.755826711654663,1.5431206226348877,1.9585243463516235,-0.2960126101970672,Q4-2024,Qwen2ForCausalLM
-1.7115962505340576,-1.0866111516952517,-0.3021976351737976,-0.5520697832107544,-0.8062676191329956,0.2153453528881073,-1.081684708595276,-0.084443874657154,0.0717816948890686,-0.684718132019043,-0.8386359810829163,-1.107662796974182,0.3507847487926483,-0.305169016122818,-0.3477360010147095,-0.3087884187698364,0.0010706309694796,-0.8057525157928467,-1.122406840324402,-0.1872757226228714,2.3583364486694336,1.8071260452270508,2.908857822418213,-0.7533235549926758,Q3-2024,Qwen2ForCausalLM
-1.1933088302612305,-1.0319653749465942,-0.1933207958936691,-0.5329094529151917,-0.5198339819908142,0.2619235217571258,-1.3018211126327517,-0.0254711266607046,0.126852810382843,-0.4555844068527221,-0.6959900856018066,-0.6622287034988403,0.2951817810535431,-0.1941238194704055,-0.1715649515390396,-0.266152560710907,0.0290351770818233,-0.5684245228767395,-0.9083480834960938,-0.1565464287996292,1.7735532522201538,1.9931564331054688,2.3704674243927,-0.5151095390319824,Q2-2024,Qwen2ForCausalLM
-0.5993258357048035,-0.5326478481292725,0.2123856544494629,-0.2227279245853424,0.0210088621824979,0.4461706876754761,-0.477005660533905,0.3629092574119568,0.4336066544055938,-0.0615273080766201,-0.0088702104985713,-0.1770846843719482,0.6047934889793396,0.2767271697521209,0.1950015276670456,0.1250205487012863,0.3102604150772095,-0.6482608914375305,-0.8127458095550537,0.3299868702888489,2.3003733158111572,2.439229965209961,1.445109724998474,0.4422031342983246,Q1-2025,MistralForCausalLM
-1.4769268035888672,-1.2978200912475586,-0.0345528088510036,-0.298520565032959,-0.5842233300209045,0.3259893357753753,-1.436797857284546,0.3104403614997864,0.3126187622547149,-0.3825009167194366,-0.2230721712112426,-0.4218547940254211,0.575238049030304,0.105456918478012,0.0205592643469572,-0.0172254256904125,0.1374917030334472,-0.5486562252044678,-1.425877571105957,0.331578254699707,2.2473511695861816,2.9953179359436035,4.876012802124023,0.1899196505546569,Q4-2024,MistralForCausalLM
-1.2652177810668943,-1.0332499742507937,-0.1359245181083679,-0.4350565075874328,-0.2567909657955169,0.2056379467248916,-0.7263159155845642,0.1698595732450485,0.1997084766626358,-0.2747061252593994,-0.4434109330177307,-0.3823816776275635,1.242478847503662,0.0011651150416582,-0.0590309128165245,-0.1764007061719894,0.0265717804431915,-0.374171108007431,-1.5098577737808228,0.1764571517705917,2.129622220993042,1.919216275215149,1.5048699378967283,-0.001026171259582,Q3-2024,MistralForCausalLM
-0.7707014083862305,-0.5867903828620911,0.0268358513712883,-0.2888384461402893,-0.2377276122570037,0.0912495180964469,-0.3909856379032135,0.0380915664136409,0.1281895786523819,-0.1987708806991577,-0.2496359199285507,-0.376844197511673,0.5427668690681458,0.0509557016193866,-0.0185365229845047,-0.1009647920727729,0.0388480685651302,-0.3405026495456695,-0.9860830307006836,0.0727099776268005,0.9211307764053344,1.62707257270813,1.497761607170105,-0.0526216626167297,Q2-2024,MistralForCausalLM
-0.9701688289642334,-1.0050119161605835,-0.1545486450195312,-0.2858027219772339,-0.5069342851638794,0.0225658435374498,-0.7666400671005249,-0.0319364145398139,-0.0127172861248254,-0.43057382106781,-0.3332225382328033,-0.5326055884361267,0.5509636998176575,-0.1484897285699844,-0.165405735373497,-0.3183178007602691,-0.0809888988733291,-0.5824565291404724,-0.8694707751274109,-0.1582833379507064,1.013066291809082,0.7372761368751526,1.5866395235061646,-0.1669023931026458,Q1-2025,Gemma2ForCausalLM
-1.5115923881530762,-1.4952285289764404,-0.2124142497777938,-0.3848445117473602,-1.083319902420044,0.2899384200572967,-1.147406816482544,0.1469925940036773,0.1686839461326599,-0.6478854417800903,-1.077518105506897,-1.1152082681655884,0.8919743299484253,-0.1387805044651031,-0.2323672920465469,-0.3966491520404815,0.0067283478565514,-0.8900731801986694,-1.409100890159607,-0.075140930712223,1.8954145908355713,1.6669025421142578,3.731306552886963,-0.5230551362037659,Q4-2024,Gemma2ForCausalLM
-0.7287764549255371,-0.4322940707206726,0.2626940011978149,0.0906020104885101,0.0172596182674169,0.4278653562068939,-0.2967850267887115,0.395112931728363,0.4375630021095276,0.0633389502763748,-0.3649091422557831,-0.3857987225055694,1.6048877239227295,0.3067473173141479,0.2371180802583694,0.1419949978590011,0.3452743589878082,-0.0987001881003379,-0.3638851344585418,0.3528062403202057,1.488308310508728,0.9863287210464478,1.734386682510376,0.1343854516744613,Q3-2024,Gemma2ForCausalLM
-1.4028558731079102,-1.6376452445983887,-0.32618629932403564,-0.6748002171516418,-0.2549911141395569,0.05568571388721466,-0.2530861496925354,0.01007763110101223,0.05684174597263336,-0.18690988421440125,-2.320420503616333,-0.09683404117822647,3.9832382202148438,-0.02550702914595604,-0.08108624070882797,-0.23962832987308502,0.012897954322397709,-0.30503353476524353,-2.3574037551879883,-0.07767590135335922,0.4470391869544983,0.27265334129333496,1.6706523895263672,-0.06137954816222191,Q2-2024,Gemma2ForCausalLM
